"t_pred","a_pred","t_attr","area","term","resp_id","a_attr","t_expand","a_expand","term_factor"
"1","0","1","1","FYR1","SD39043",NA,NA,NA,"1"
"1","1","0","1","FYR1","SD58600",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD24231",NA,NA,NA,"1"
"0","0","1","1","FYR1","SD75995",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD91856",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD28241",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD12148",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD83112",NA,NA,NA,"1"
"0","0","1","1","FYR1","SD02888",NA,NA,NA,"1"
"0","0","1","2","FYR1","SD66652",NA,NA,NA,"1"
NA,"0","0","1","FYR1","SD59549",NA,NA,NA,"1"
"0","0","1","1","FYR1","SD01038",NA,NA,NA,"1"
"0","0","1","1","FYR1","SD84848",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD50219",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD72610",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD43846",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD45682",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD96689",NA,NA,NA,"1"
"0","0","1","1","FYR1","SD29890",NA,NA,NA,"1"
"1","0","0","1","FYR1","SD07090",NA,NA,NA,"1"
"1","1","1","1","FYR1","SD49197",NA,NA,NA,"1"
"0","0","1","2","FYR1","SD65111",NA,NA,NA,"1"
"1","1","1","2","FYR1","SD46846",NA,NA,NA,"1"
"1","0","1","2","FYR1","SD73574",NA,NA,NA,"1"
"1","1","1","2","FYR1","SD22989",NA,NA,NA,"1"
"1","0","1","2","FYR1","SD12546",NA,NA,NA,"1"
NA,NA,NA,"2","FYR1","SD55815",NA,NA,NA,"1"
"0","0","0","1","FYR1","SD56920",NA,NA,NA,"1"
"0","0","1","3","FYR1","SD40594",NA,NA,NA,"1"
"1","0","1","1","FYR1","SD20222",NA,NA,NA,"1"
